Date,ECRI_Level
Jan-70,61.37
Feb-70,59.45
Mar-70,58.6
Apr-70,57.28
May-70,56.81
Jun-70,55.82
Jul-70,56.12
Aug-70,56.2
Sep-70,56.19
Oct-70,56.78
Nov-70,54.29
Dec-70,56.95
Jan-71,59.25
Feb-71,61.44
Mar-71,59.93
Apr-71,63.4
May-71,63.08
Jun-71,63.04
Jul-71,63.35
Aug-71,62.69
Sep-71,62.26
Oct-71,61.49
Nov-71,60.96
Dec-71,62.38
Jan-72,64.15
Feb-72,65.52
Mar-72,65.94
Apr-72,65.82
May-72,65.62
Jun-72,63.16
Jul-72,65.81
Aug-72,66.92
Sep-72,68.4
Oct-72,68.88
Nov-72,69.29
Dec-72,70.53
Jan-73,71.44
Feb-73,71.37
Mar-73,70.7
Apr-73,70.27
May-73,70.73
Jun-73,69.88
Jul-73,70.09
Aug-73,68.51
Sep-73,67.93
Oct-73,68.23
Nov-73,66.16
Dec-73,65.75
Jan-74,66.88
Feb-74,66.83
Mar-74,67.4
Apr-74,67.75
May-74,66.1
Jun-74,64.47
Jul-74,63.92
Aug-74,62.47
Sep-74,60.45
Oct-74,59.55
Nov-74,58.35
Dec-74,56.88
Jan-75,57.5
Feb-75,58.34
Mar-75,59.48
Apr-75,60.62
May-75,61.15
Jun-75,61.83
Jul-75,62.07
Aug-75,62.26
Sep-75,62.64
Oct-75,62.79
Nov-75,63.66
Dec-75,63.34
Jan-76,64.9
Feb-76,65.69
Mar-76,66.1
Apr-76,66.91
May-76,67.1
Jun-76,67.21
Jul-76,67.79
Aug-76,67.66
Sep-76,67.86
Oct-76,67.4
Nov-76,67.63
Dec-76,67.84
Jan-77,68.15
Feb-77,69.09
Mar-77,69.6
Apr-77,69.41
May-77,69.49
Jun-77,69.55
Jul-77,69.85
Aug-77,69.84
Sep-77,69.99
Oct-77,69.82
Nov-77,69.89
Dec-77,70.29
Jan-78,70.2
Feb-78,70.19
Mar-78,70.85
Apr-78,71.64
May-78,71.85
Jun-78,72.02
Jul-78,72.38
Aug-78,73.26
Sep-78,73.78
Oct-78,73.37
Nov-78,72.56
Dec-78,72.44
Jan-79,72.93
Feb-79,73.22
Mar-79,73.66
Apr-79,73.98
May-79,72.95
Jun-79,73.04
Jul-79,73.19
Aug-79,73.46
Sep-79,73.08
Oct-79,72.34
Nov-79,71.35
Dec-79,71.11
Jan-80,71.93
Feb-80,71.9
Mar-80,68.74
Apr-80,66.99
May-80,66.75
Jun-80,67.49
Jul-80,68.81
Aug-80,70.37
Sep-80,70.52
Oct-80,70.81
Nov-80,71.5
Dec-80,70.3
Jan-81,70
Feb-81,70.01
Mar-81,71.29
Apr-81,71.49
May-81,71.06
Jun-81,70.65
Jul-81,70.4
Aug-81,70.9
Sep-81,69.34
Oct-81,69.05
Nov-81,68.7
Dec-81,68.8
Jan-82,68.28
Feb-82,68.25
Mar-82,68.11
Apr-82,68.47
May-82,68.19
Jun-82,68.15
Jul-82,67.71
Aug-82,68.1
Sep-82,68.48
Oct-82,69.49
Nov-82,69.91
Dec-82,71.1
Jan-83,73.32
Feb-83,74.76
Mar-83,75.94
Apr-83,76.75
May-83,77.57
Jun-83,78.21
Jul-83,79.27
Aug-83,78.73
Sep-83,79.11
Oct-83,79.37
Nov-83,79.15
Dec-83,79.36
Jan-84,79.68
Feb-84,79.43
Mar-84,80.45
Apr-84,79.72
May-84,79.74
Jun-84,79.32
Jul-84,78.41
Aug-84,79.23
Sep-84,79.33
Oct-84,79.17
Nov-84,79.79
Dec-84,80.14
Jan-85,81.07
Feb-85,81.45
Mar-85,80.96
Apr-85,81.36
May-85,81.79
Jun-85,82.53
Jul-85,83.54
Aug-85,82.48
Sep-85,82.23
Oct-85,82.67
Nov-85,83.59
Dec-85,84.23
Jan-86,84.52
Feb-86,84.77
Mar-86,84.89
Apr-86,85.65
May-86,86.84
Jun-86,86.94
Jul-86,86.56
Aug-86,86.28
Sep-86,87.03
Oct-86,87.92
Nov-86,88.32
Dec-86,89.48
Jan-87,91.34
Feb-87,92.03
Mar-87,93.05
Apr-87,93.7
May-87,93.59
Jun-87,93.89
Jul-87,93.37
Aug-87,94.09
Sep-87,93.53
Oct-87,90.56
Nov-87,89.81
Dec-87,89.5
Jan-88,89.47
Feb-88,90.37
Mar-88,91.3
Apr-88,90.77
May-88,90.95
Jun-88,92.16
Jul-88,91.09
Aug-88,91.56
Sep-88,92.8
Oct-88,93.4
Nov-88,93.05
Dec-88,93.62
Jan-89,94.09
Feb-89,93.79
Mar-89,93.56
Apr-89,94.43
May-89,94.04
Jun-89,94.04
Jul-89,95.06
Aug-89,96.3
Sep-89,96.94
Oct-89,96.8
Nov-89,96.64
Dec-89,96.63
Jan-90,96.78
Feb-90,97.19
Mar-90,96.38
Apr-90,94.73
May-90,95.5
Jun-90,95.03
Jul-90,95.07
Aug-90,93.43
Sep-90,92.85
Oct-90,90.65
Nov-90,92.29
Dec-90,88.44
Jan-91,91.18
Feb-91,96.18
Mar-91,97.37
Apr-91,96.77
May-91,98.16
Jun-91,96.99
Jul-91,96.57
Aug-91,97.23
Sep-91,96.91
Oct-91,97.21
Nov-91,95.23
Dec-91,94.05
Jan-92,100.39
Feb-92,97.51
Mar-92,99.17
Apr-92,98.85
May-92,100.83
Jun-92,98.97
Jul-92,101.73
Aug-92,101.21
Sep-92,100.07
Oct-92,101.52
Nov-92,99.34
Dec-92,101.41
Jan-93,102.21
Feb-93,101.46
Mar-93,103.09
Apr-93,103.35
May-93,102.86
Jun-93,102.73
Jul-93,103.15
Aug-93,104.38
Sep-93,104.76
Oct-93,104.74
Nov-93,103.52
Dec-93,104.11
Jan-94,104.21
Feb-94,107.75
Mar-94,106.6
Apr-94,105.5
May-94,105.17
Jun-94,104.94
Jul-94,105.64
Aug-94,105.35
Sep-94,106.02
Oct-94,105.23
Nov-94,103.57
Dec-94,103.04
Jan-95,105.97
Feb-95,106.42
Mar-95,106.11
Apr-95,106.11
May-95,106.75
Jun-95,107.88
Jul-95,107.39
Aug-95,108.01
Sep-95,109.57
Oct-95,109.39
Nov-95,108.93
Dec-95,111.33
Jan-96,110.1
Feb-96,111.7
Mar-96,111.61
Apr-96,112
May-96,114.21
Jun-96,112.97
Jul-96,111.82
Aug-96,113.15
Sep-96,112.56
Oct-96,112.81
Nov-96,116.15
Dec-96,112.98
Jan-97,114.72
Feb-97,115.53
Mar-97,117.76
Apr-97,114
May-97,115.62
Jun-97,117.21
Jul-97,118.73
Aug-97,118.66
Sep-97,119.58
Oct-97,119.82
Nov-97,120.25
Dec-97,119.1
Jan-98,119.68
Feb-98,119.49
Mar-98,121.3
Apr-98,122.58
May-98,122.44
Jun-98,120.57
Jul-98,121.86
Aug-98,120
Sep-98,118.74
Oct-98,117.28
Nov-98,120.94
Dec-98,120.15
Jan-99,121.21
Feb-99,122.02
Mar-99,121.8
Apr-99,125.47
May-99,125.18
Jun-99,126.45
Jul-99,126.45
Aug-99,126.1
Sep-99,123.73
Oct-99,124.72
Nov-99,126.97
Dec-99,126.03
Jan-00,128.86
Feb-00,126.54
Mar-00,127.95
Apr-00,126.57
May-00,125.3
Jun-00,125.8
Jul-00,125.27
Aug-00,125.42
Sep-00,126.71
Oct-00,123.72
Nov-00,121.28
Dec-00,118.05
Jan-01,122.18
Feb-01,119.26
Mar-01,117.41
Apr-01,119.44
May-01,120.66
Jun-01,119.61
Jul-01,119.21
Aug-01,118.36
Sep-01,113.38
Oct-01,112.68
Nov-01,117.54
Dec-01,118.14
Jan-02,119.43
Feb-02,119.15
Mar-02,121.54
Apr-02,122.7
May-02,124.12
Jun-02,122.71
Jul-02,118.41
Aug-02,119.36
Sep-02,116.84
Oct-02,116.92
Nov-02,120.51
Dec-02,118.54
Jan-03,120.44
Feb-03,119.87
Mar-03,119.84
Apr-03,120.6
May-03,124.69
Jun-03,125.5
