"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-01","Jan-1955","IDX","Index","0","Units",,,101.3003,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-02","Feb-1955","IDX","Index","0","Units",,,101.6511,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-03","Mar-1955","IDX","Index","0","Units",,,101.9425,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-04","Apr-1955","IDX","Index","0","Units",,,102.1492,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-05","May-1955","IDX","Index","0","Units",,,102.2735,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-06","Jun-1955","IDX","Index","0","Units",,,102.3212,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-07","Jul-1955","IDX","Index","0","Units",,,102.3326,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-08","Aug-1955","IDX","Index","0","Units",,,102.3257,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-09","Sep-1955","IDX","Index","0","Units",,,102.308,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-10","Oct-1955","IDX","Index","0","Units",,,102.2653,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-11","Nov-1955","IDX","Index","0","Units",,,102.1647,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-12","Dec-1955","IDX","Index","0","Units",,,101.9847,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-01","Jan-1956","IDX","Index","0","Units",,,101.7179,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-02","Feb-1956","IDX","Index","0","Units",,,101.4035,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-03","Mar-1956","IDX","Index","0","Units",,,101.0881,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-04","Apr-1956","IDX","Index","0","Units",,,100.7912,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-05","May-1956","IDX","Index","0","Units",,,100.5301,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-06","Jun-1956","IDX","Index","0","Units",,,100.3488,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-07","Jul-1956","IDX","Index","0","Units",,,100.2792,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-08","Aug-1956","IDX","Index","0","Units",,,100.3228,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-09","Sep-1956","IDX","Index","0","Units",,,100.4286,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-10","Oct-1956","IDX","Index","0","Units",,,100.5387,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-11","Nov-1956","IDX","Index","0","Units",,,100.6092,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-12","Dec-1956","IDX","Index","0","Units",,,100.5967,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-01","Jan-1957","IDX","Index","0","Units",,,100.4821,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-02","Feb-1957","IDX","Index","0","Units",,,100.31,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-03","Mar-1957","IDX","Index","0","Units",,,100.0827,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-04","Apr-1957","IDX","Index","0","Units",,,99.83304,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-05","May-1957","IDX","Index","0","Units",,,99.59182,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-06","Jun-1957","IDX","Index","0","Units",,,99.33689,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-07","Jul-1957","IDX","Index","0","Units",,,99.03534,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-08","Aug-1957","IDX","Index","0","Units",,,98.6689,,
