"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-01","Jan-1955","IDX","Index","0","Units",,,101.2999,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-02","Feb-1955","IDX","Index","0","Units",,,101.6512,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-03","Mar-1955","IDX","Index","0","Units",,,101.9431,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-04","Apr-1955","IDX","Index","0","Units",,,102.1502,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-05","May-1955","IDX","Index","0","Units",,,102.2748,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-06","Jun-1955","IDX","Index","0","Units",,,102.323,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-07","Jul-1955","IDX","Index","0","Units",,,102.3349,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-08","Aug-1955","IDX","Index","0","Units",,,102.3284,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-09","Sep-1955","IDX","Index","0","Units",,,102.3111,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-10","Oct-1955","IDX","Index","0","Units",,,102.2687,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-11","Nov-1955","IDX","Index","0","Units",,,102.1683,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1955-12","Dec-1955","IDX","Index","0","Units",,,101.9885,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-01","Jan-1956","IDX","Index","0","Units",,,101.7216,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-02","Feb-1956","IDX","Index","0","Units",,,101.4071,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-03","Mar-1956","IDX","Index","0","Units",,,101.0917,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-04","Apr-1956","IDX","Index","0","Units",,,100.7947,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-05","May-1956","IDX","Index","0","Units",,,100.5337,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-06","Jun-1956","IDX","Index","0","Units",,,100.3524,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-07","Jul-1956","IDX","Index","0","Units",,,100.2828,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-08","Aug-1956","IDX","Index","0","Units",,,100.3266,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-09","Sep-1956","IDX","Index","0","Units",,,100.4324,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-10","Oct-1956","IDX","Index","0","Units",,,100.5427,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-11","Nov-1956","IDX","Index","0","Units",,,100.6135,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1956-12","Dec-1956","IDX","Index","0","Units",,,100.601,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-01","Jan-1957","IDX","Index","0","Units",,,100.4864,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-02","Feb-1957","IDX","Index","0","Units",,,100.3142,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-03","Mar-1957","IDX","Index","0","Units",,,100.0867,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-04","Apr-1957","IDX","Index","0","Units",,,99.83678,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-05","May-1957","IDX","Index","0","Units",,,99.59526,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-06","Jun-1957","IDX","Index","0","Units",,,99.33998,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-07","Jul-1957","IDX","Index","0","Units",,,99.03805,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-08","Aug-1957","IDX","Index","0","Units",,,98.6712,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-09","Sep-1957","IDX","Index","0","Units",,,98.24089,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-10","Oct-1957","IDX","Index","0","Units",,,97.78955,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-11","Nov-1957","IDX","Index","0","Units",,,97.38508,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1957-12","Dec-1957","IDX","Index","0","Units",,,97.07473,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-01","Jan-1958","IDX","Index","0","Units",,,96.9095,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-02","Feb-1958","IDX","Index","0","Units",,,96.90684,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-03","Mar-1958","IDX","Index","0","Units",,,97.08471,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-04","Apr-1958","IDX","Index","0","Units",,,97.42732,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-05","May-1958","IDX","Index","0","Units",,,97.92335,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-06","Jun-1958","IDX","Index","0","Units",,,98.51578,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-07","Jul-1958","IDX","Index","0","Units",,,99.14237,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-08","Aug-1958","IDX","Index","0","Units",,,99.76283,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-09","Sep-1958","IDX","Index","0","Units",,,100.3557,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-10","Oct-1958","IDX","Index","0","Units",,,100.9215,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-11","Nov-1958","IDX","Index","0","Units",,,101.4469,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1958-12","Dec-1958","IDX","Index","0","Units",,,101.9194,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-01","Jan-1959","IDX","Index","0","Units",,,102.3425,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-02","Feb-1959","IDX","Index","0","Units",,,102.6776,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-03","Mar-1959","IDX","Index","0","Units",,,102.8901,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-04","Apr-1959","IDX","Index","0","Units",,,102.9584,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-05","May-1959","IDX","Index","0","Units",,,102.8727,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-06","Jun-1959","IDX","Index","0","Units",,,102.6405,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-07","Jul-1959","IDX","Index","0","Units",,,102.3024,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-08","Aug-1959","IDX","Index","0","Units",,,101.9277,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-09","Sep-1959","IDX","Index","0","Units",,,101.5819,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-10","Oct-1959","IDX","Index","0","Units",,,101.3057,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-11","Nov-1959","IDX","Index","0","Units",,,101.1055,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1959-12","Dec-1959","IDX","Index","0","Units",,,100.9501,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-01","Jan-1960","IDX","Index","0","Units",,,100.7486,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-02","Feb-1960","IDX","Index","0","Units",,,100.4667,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-03","Mar-1960","IDX","Index","0","Units",,,100.1474,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-04","Apr-1960","IDX","Index","0","Units",,,99.84361,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-05","May-1960","IDX","Index","0","Units",,,99.57827,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-06","Jun-1960","IDX","Index","0","Units",,,99.34649,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-07","Jul-1960","IDX","Index","0","Units",,,99.12829,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-08","Aug-1960","IDX","Index","0","Units",,,98.91923,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-09","Sep-1960","IDX","Index","0","Units",,,98.71075,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-10","Oct-1960","IDX","Index","0","Units",,,98.52929,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-11","Nov-1960","IDX","Index","0","Units",,,98.40623,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1960-12","Dec-1960","IDX","Index","0","Units",,,98.37886,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-01","Jan-1961","IDX","Index","0","Units",,,98.46901,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-02","Feb-1961","IDX","Index","0","Units",,,98.69635,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-03","Mar-1961","IDX","Index","0","Units",,,99.04623,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-04","Apr-1961","IDX","Index","0","Units",,,99.4667,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-05","May-1961","IDX","Index","0","Units",,,99.89178,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-06","Jun-1961","IDX","Index","0","Units",,,100.2851,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-07","Jul-1961","IDX","Index","0","Units",,,100.6217,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1961-08","Aug-1961","IDX","Index","0","Units",,,100.8943,,
