"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-01","Jan-1990","IDX","Index","0","Units",,,99.79704,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-02","Feb-1990","IDX","Index","0","Units",,,99.82634,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-03","Mar-1990","IDX","Index","0","Units",,,99.82671,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-04","Apr-1990","IDX","Index","0","Units",,,99.75539,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-05","May-1990","IDX","Index","0","Units",,,99.59018,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-06","Jun-1990","IDX","Index","0","Units",,,99.3128,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-07","Jul-1990","IDX","Index","0","Units",,,98.9272,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-08","Aug-1990","IDX","Index","0","Units",,,98.46288,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-09","Sep-1990","IDX","Index","0","Units",,,97.99137,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-10","Oct-1990","IDX","Index","0","Units",,,97.58037,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-11","Nov-1990","IDX","Index","0","Units",,,97.29697,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1990-12","Dec-1990","IDX","Index","0","Units",,,97.18497,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-01","Jan-1991","IDX","Index","0","Units",,,97.24259,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-02","Feb-1991","IDX","Index","0","Units",,,97.45387,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-03","Mar-1991","IDX","Index","0","Units",,,97.7675,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-04","Apr-1991","IDX","Index","0","Units",,,98.12267,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-05","May-1991","IDX","Index","0","Units",,,98.47965,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-06","Jun-1991","IDX","Index","0","Units",,,98.80657,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-07","Jul-1991","IDX","Index","0","Units",,,99.05611,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-08","Aug-1991","IDX","Index","0","Units",,,99.19176,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-09","Sep-1991","IDX","Index","0","Units",,,99.21971,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-10","Oct-1991","IDX","Index","0","Units",,,99.17129,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-11","Nov-1991","IDX","Index","0","Units",,,99.10006,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1991-12","Dec-1991","IDX","Index","0","Units",,,99.06725,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1992-01","Jan-1992","IDX","Index","0","Units",,,99.1162,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1992-02","Feb-1992","IDX","Index","0","Units",,,99.23872,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1992-03","Mar-1992","IDX","Index","0","Units",,,99.40057,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1992-04","Apr-1992","IDX","Index","0","Units",,,99.54632,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1992-05","May-1992","IDX","Index","0","Units",,,99.63762,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1992-06","Jun-1992","IDX","Index","0","Units",,,99.66254,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1992-07","Jul-1992","IDX","Index","0","Units",,,99.6497,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1992-08","Aug-1992","IDX","Index","0","Units",,,99.63923,,
